C0REC 5 9 15 | 2 | h 3 : 1 10 13 | v 4 : 0 3 4 6 | w 6
C0REC 5 11 13 | 1 | h 3 : 8 1 3 | v 4 : 2 4 6 7 | w 6
C0REC 5 11 13 | 2 | h 3 : 0 9 3 | v 4 : 2 4 6 7 | w 6
C0REC 5 11 15 | 0 | h 5 : 0 2 3 4 7 | v 2 : 1 6 | w 2
C0REC 5 11 15 | 3 | h 5 : 8 10 3 4 7 | v 2 : 1 6 | w 2
C0REC 5 13 15 | 0 | h 5 : 1 2 4 6 7 | v 2 : 0 3 | w 2
C0REC 5 13 15 | 1 | h 5 : 9 2 4 14 7 | v 2 : 0 3 | w 2
C0REC 5 13 15 | 2 | h 5 : 1 10 4 14 7 | v 2 : 0 3 | w 2
C0REC 5 13 15 | 3 | h 5 : 9 10 4 6 7 | v 2 : 0 3 | w 2
C0REC 6 8 10 | 2 | h 5 : 9 2 4 14 15 | v 2 : 3 5 | w 2
C0REC 6 8 10 | 3 | h 5 : 1 2 4 14 7 | v 2 : 3 5 | w 2
C0REC 6 8 14 | 0 | h 5 : 0 2 3 4 15 | v 2 : 1 5 | w 2
C0REC 6 8 14 | 1 | h 5 : 0 2 11 4 7 | v 2 : 1 5 | w 2
C0REC 6 8 14 | 2 | h 5 : 0 10 11 4 15 | v 2 : 1 5 | w 2
C0REC 6 8 14 | 3 | h 5 : 0 10 3 4 7 | v 2 : 1 5 | w 2
C0REC 6 10 14 | 2 | h 1 : 0 | v 5 : 1 3 4 5 7 | w 10
C0REC 7 9 11 | 2 | h 5 : 0 10 3 4 15 | v 2 : 5 6 | w 2
C0REC 7 9 11 | 3 | h 5 : 8 2 3 4 15 | v 2 : 5 6 | w 2
C0REC 7 9 13 | 0 | h 7 : 0 1 2 3 4 5 15 | v 1 : 6 | w 1
C0REC 7 9 13 | 1 | h 7 : 8 1 2 11 4 5 15 | v 1 : 6 | w 1
C0REC 7 9 13 | 2 | h 7 : 0 1 10 11 4 5 15 | v 1 : 6 | w 1
C0REC 7 9 13 | 3 | h 7 : 8 1 10 3 4 5 15 | v 1 : 6 | w 1
C0REC 7 9 15 | 1 | h 3 : 8 1 3 | v 4 : 2 4 5 6 | w 6
C0REC 7 9 15 | 2 | h 3 : 0 1 11 | v 4 : 2 4 5 6 | w 6
C0REC 7 11 13 | 1 | h 5 : 9 2 3 5 15 | v 3 : 0 4 6 | w 3
C0REC 7 11 13 | 2 | h 5 : 1 10 3 5 15 | v 3 : 0 4 6 | w 3
C0REC 7 11 15 | 2 | h 3 : 1 4 13 | v 3 : 0 2 6 | w 3
C0REC 7 11 15 | 3 | h 3 : 9 4 5 | v 3 : 0 2 6 | w 3
C0REC 7 13 15 | 0 | h 5 : 2 3 4 5 6 | v 2 : 0 1 | w 2
C0REC 7 13 15 | 1 | h 5 : 10 3 4 5 14 | v 2 : 0 1 | w 2
C0REC 7 13 15 | 2 | h 5 : 2 11 4 5 14 | v 2 : 0 1 | w 2
C0REC 7 13 15 | 3 | h 5 : 10 11 4 5 6 | v 2 : 0 1 | w 2
C0REC 8 10 14 | 1 | h 5 : 0 9 2 3 6 | v 3 : 4 5 7 | w 3
C0REC 8 10 14 | 2 | h 5 : 0 1 2 11 6 | v 3 : 4 5 7 | w 3
C0REC 9 11 13 | 2 | h 3 : 1 2 5 | v 4 : 0 4 6 7 | w 6
C0REC 9 11 15 | 2 | h 5 : 1 2 3 13 7 | v 3 : 0 4 6 | w 3
C0REC 9 11 15 | 3 | h 5 : 1 10 3 5 7 | v 3 : 0 4 6 | w 3
C0REC 9 13 15 | 2 | h 5 : 1 3 5 14 7 | v 3 : 0 2 4 | w 3
C0REC 9 13 15 | 3 | h 5 : 1 11 5 6 7 | v 3 : 0 2 4 | w 3
C0REC 10 12 14 | 2 | h 5 : 2 3 4 13 6 | v 3 : 0 1 7 | w 3
C0REC 10 12 14 | 3 | h 5 : 2 11 4 5 6 | v 3 : 0 1 7 | w 3
C0REC 11 13 15 | 3 | h 3 : 3 6 7 | v 4 : 0 1 2 4 | w 6
SUMMARY s=16 r=3 p=3221225473 w=0/1 mode=both+rec classes=2240 feas=232 char0_sum=672 modp_sum=672 spur_classes=0 spur_excess=0 xiH=0 xiH_feas=0 mitm_brute_mismatch=0
