C0REC 0 6 30 | 3 | h 7 : 16 2 3 22 8 14 15 | v 9 : 1 4 5 7 9 10 11 12 13 | w 126
C0REC 0 8 10 | 0 | h 5 : 16 20 21 25 26 | v 10 : 1 2 3 6 7 11 12 13 14 15 | w 252
C0REC 0 8 10 | 1 | h 5 : 16 4 21 9 26 | v 10 : 1 2 3 6 7 11 12 13 14 15 | w 252
C0REC 0 8 10 | 2 | h 5 : 16 20 5 9 26 | v 10 : 1 2 3 6 7 11 12 13 14 15 | w 252
C0REC 0 8 10 | 3 | h 5 : 16 4 5 25 26 | v 10 : 1 2 3 6 7 11 12 13 14 15 | w 252
C0REC 0 8 12 | 0 | h 5 : 16 20 22 26 28 | v 10 : 1 2 3 5 7 9 11 13 14 15 | w 252
C0REC 0 8 12 | 1 | h 5 : 16 4 22 10 28 | v 10 : 1 2 3 5 7 9 11 13 14 15 | w 252
C0REC 0 8 12 | 2 | h 5 : 16 20 6 10 28 | v 10 : 1 2 3 5 7 9 11 13 14 15 | w 252
C0REC 0 8 12 | 3 | h 5 : 16 4 6 26 28 | v 10 : 1 2 3 5 7 9 11 13 14 15 | w 252
C0REC 0 8 14 | 0 | h 5 : 16 20 23 27 30 | v 10 : 1 2 3 5 6 9 10 12 13 15 | w 252
C0REC 0 8 14 | 1 | h 5 : 16 4 23 11 30 | v 10 : 1 2 3 5 6 9 10 12 13 15 | w 252
C0REC 0 8 14 | 2 | h 5 : 16 20 7 11 30 | v 10 : 1 2 3 5 6 9 10 12 13 15 | w 252
C0REC 0 8 14 | 3 | h 5 : 16 4 7 27 30 | v 10 : 1 2 3 5 6 9 10 12 13 15 | w 252
C0REC 0 8 16 | 0 | h 3 : 20 24 28 | v 12 : 1 2 3 5 6 7 9 10 11 13 14 15 | w 924
C0REC 0 8 16 | 1 | h 3 : 4 24 12 | v 12 : 1 2 3 5 6 7 9 10 11 13 14 15 | w 924
C0REC 0 8 18 | 0 | h 5 : 16 2 20 25 29 | v 10 : 1 3 5 6 7 10 11 12 14 15 | w 252
C0REC 0 8 18 | 1 | h 5 : 16 2 4 25 13 | v 10 : 1 3 5 6 7 10 11 12 14 15 | w 252
C0REC 0 8 18 | 2 | h 5 : 16 2 20 9 13 | v 10 : 1 3 5 6 7 10 11 12 14 15 | w 252
C0REC 0 8 18 | 3 | h 5 : 16 2 4 9 29 | v 10 : 1 3 5 6 7 10 11 12 14 15 | w 252
C0REC 0 8 20 | 0 | h 3 : 16 26 30 | v 11 : 1 2 3 5 6 7 9 11 12 13 15 | w 462
C0REC 0 8 20 | 2 | h 3 : 16 10 14 | v 11 : 1 2 3 5 6 7 9 11 12 13 15 | w 462
C0REC 0 8 22 | 0 | h 5 : 16 20 6 27 31 | v 10 : 1 2 3 5 7 9 10 12 13 14 | w 252
C0REC 0 8 22 | 1 | h 5 : 16 4 6 27 15 | v 10 : 1 2 3 5 7 9 10 12 13 14 | w 252
C0REC 0 8 22 | 2 | h 5 : 16 20 6 11 15 | v 10 : 1 2 3 5 7 9 10 12 13 14 | w 252
C0REC 0 8 22 | 3 | h 5 : 16 4 6 11 31 | v 10 : 1 2 3 5 7 9 10 12 13 14 | w 252
C0REC 0 8 26 | 0 | h 5 : 16 1 20 10 29 | v 10 : 2 3 5 6 7 9 11 12 14 15 | w 252
C0REC 0 8 26 | 1 | h 5 : 16 17 4 10 29 | v 10 : 2 3 5 6 7 9 11 12 14 15 | w 252
C0REC 0 8 26 | 2 | h 5 : 16 17 20 10 13 | v 10 : 2 3 5 6 7 9 11 12 14 15 | w 252
C0REC 0 8 26 | 3 | h 5 : 16 1 4 10 13 | v 10 : 2 3 5 6 7 9 11 12 14 15 | w 252
C0REC 0 8 28 | 0 | h 5 : 16 2 20 12 30 | v 10 : 1 3 5 6 7 9 10 11 13 15 | w 252
C0REC 0 8 28 | 1 | h 5 : 16 18 4 12 30 | v 10 : 1 3 5 6 7 9 10 11 13 15 | w 252
C0REC 0 8 28 | 2 | h 5 : 16 18 20 12 14 | v 10 : 1 3 5 6 7 9 10 11 13 15 | w 252
C0REC 0 8 28 | 3 | h 5 : 16 2 4 12 14 | v 10 : 1 3 5 6 7 9 10 11 13 15 | w 252
C0REC 0 8 30 | 0 | h 5 : 16 3 20 14 31 | v 10 : 1 2 5 6 7 9 10 11 12 13 | w 252
C0REC 0 8 30 | 1 | h 5 : 16 19 4 14 31 | v 10 : 1 2 5 6 7 9 10 11 12 13 | w 252
C0REC 0 8 30 | 2 | h 5 : 16 19 20 14 15 | v 10 : 1 2 5 6 7 9 10 11 12 13 | w 252
C0REC 0 8 30 | 3 | h 5 : 16 3 4 14 15 | v 10 : 1 2 5 6 7 9 10 11 12 13 | w 252
C0REC 0 10 12 | 0 | h 7 : 16 21 22 8 26 27 28 | v 9 : 1 2 3 4 7 9 13 14 15 | w 126
C0REC 0 10 12 | 1 | h 7 : 16 5 22 8 26 11 28 | v 9 : 1 2 3 4 7 9 13 14 15 | w 126
C0REC 0 10 12 | 2 | h 7 : 16 21 6 8 26 11 28 | v 9 : 1 2 3 4 7 9 13 14 15 | w 126
C0REC 0 10 12 | 3 | h 7 : 16 5 6 8 26 27 28 | v 9 : 1 2 3 4 7 9 13 14 15 | w 126
C0REC 0 10 14 | 0 | h 7 : 16 21 23 8 26 28 30 | v 9 : 1 2 3 4 6 9 11 13 15 | w 126
C0REC 0 10 14 | 1 | h 7 : 16 5 23 8 26 12 30 | v 9 : 1 2 3 4 6 9 11 13 15 | w 126
C0REC 0 10 14 | 2 | h 7 : 16 21 7 8 26 12 30 | v 9 : 1 2 3 4 6 9 11 13 15 | w 126
C0REC 0 10 14 | 3 | h 7 : 16 5 7 8 26 28 30 | v 9 : 1 2 3 4 6 9 11 13 15 | w 126
C0REC 0 10 16 | 0 | h 3 : 21 26 29 | v 12 : 1 2 3 4 6 7 8 9 11 12 14 15 | w 924
C0REC 0 10 16 | 1 | h 3 : 5 26 13 | v 12 : 1 2 3 4 6 7 8 9 11 12 14 15 | w 924
C0REC 0 10 18 | 0 | h 7 : 16 2 21 8 25 26 30 | v 9 : 1 3 4 6 7 11 12 13 15 | w 126
C0REC 0 10 18 | 1 | h 7 : 16 2 5 8 25 26 14 | v 9 : 1 3 4 6 7 11 12 13 15 | w 126
C0REC 0 10 18 | 2 | h 7 : 16 2 21 8 9 26 14 | v 9 : 1 3 4 6 7 11 12 13 15 | w 126
C0REC 0 10 18 | 3 | h 7 : 16 2 5 8 9 26 30 | v 9 : 1 3 4 6 7 11 12 13 15 | w 126
C0REC 0 10 20 | 2 | h 5 : 16 4 21 8 15 | v 10 : 1 2 3 6 7 9 11 12 13 14 | w 252
C0REC 0 10 20 | 3 | h 5 : 16 4 5 8 31 | v 10 : 1 2 3 6 7 9 11 12 13 14 | w 252
C0REC 0 10 22 | 0 | h 5 : 21 6 8 26 27 | v 10 : 1 2 3 4 7 9 12 13 14 15 | w 252
C0REC 0 10 22 | 3 | h 5 : 5 6 8 26 11 | v 10 : 1 2 3 4 7 9 12 13 14 15 | w 252
C0REC 0 10 26 | 0 | h 5 : 16 2 21 8 29 | v 10 : 1 3 4 6 7 9 11 12 14 15 | w 252
C0REC 0 10 26 | 1 | h 5 : 16 18 5 8 29 | v 10 : 1 3 4 6 7 9 11 12 14 15 | w 252
C0REC 0 10 26 | 2 | h 5 : 16 18 21 8 13 | v 10 : 1 3 4 6 7 9 11 12 14 15 | w 252
C0REC 0 10 26 | 3 | h 5 : 16 2 5 8 13 | v 10 : 1 3 4 6 7 9 11 12 14 15 | w 252
C0REC 0 10 28 | 0 | h 7 : 16 3 21 8 26 12 30 | v 9 : 1 2 4 6 7 9 11 13 15 | w 126
